"Weekday","Day", "Year", "Sum"
"Thursday, October 02, 2025","94.00"
"Friday, October 03, 2025","45"
"Saturday, October 04, 2025","54.99"
"Sunday, October 05, 2025","45"
"Monday, October 06, 2025",""
"Tuesday, October 07, 2025","49.00"
"Wednesday, October 08, 2025",""
"Thursday, October 09, 2025",""
"Friday, October 10, 2025",""
"Saturday, October 11, 2025","49.00"
"Sunday, October 12, 2025",""
"Monday, October 13, 2025","49.00"
"Tuesday, October 14, 2025",""
"Wednesday, October 15, 2025",""
"Thursday, October 16, 2025",""
"Friday, October 17, 2025","113.00"
"Saturday, October 18, 2025",""
"Sunday, October 19, 2025",""
"Monday, October 20, 2025",""
"Tuesday, October 21, 2025",""
